username,video_backward_seek_avg,video_avg_count,qz_mean,final_score
Y1050200,1.04430980826,1.28263660558,0.113759050156,30.0
Y1050201,1.42913075233,-0.060988267205,-0.0345478737788,68.0
Y1050202,0.823828920536,-0.894061944339,0.44138540418,75.0
Y1050203,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050204,1.57303390389,-0.812535943087,-0.000908893222773,90.0
Y1050205,1.95409042267,-0.158372859498,-1.24695644498,88.0
Y1050206,0.645886319499,-1.20692521253,-0.487511651607,70.0
Y1050207,5.64548445393,0.268935077741,5.71331600454,40.0
Y1050208,0.672371651128,-0.659702896034,-0.0958623202023,70.0
Y1050209,0.477237838422,-1.53199253888,-0.249279137185,85.0
Y1050210,-1.0888818203,0.443825165733,0.165655655173,20.0
Y1050211,-1.03477693089,0.457423888801,0.230737693197,40.0
Y1050212,-1.0888818203,0.443825165733,0.165655655173,20.0
Y1050213,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050214,0.181074905274,1.14726110092,-0.502677260985,20.0
Y1050215,-1.0888818203,0.443825165733,0.165655655173,20.0
Y1050216,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050217,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050218,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050219,-0.849009890947,0.199178634895,0.175424043392,20.0
Y1050220,-0.335807183175,1.0545039855,-0.294453453566,30.0
Y1050221,0.0861410056847,-1.2429282185,-0.232932291377,80.0
Y1050222,0.0955122817954,-0.948022243129,-0.219547494532,50.0
Y1050223,-0.206111092488,0.437959768945,0.223322892127,20.0
Y1050224,1.31776000907,-0.842511519572,-0.260382436267,68.0
Y1050225,1.67232147094,0.0874200464375,-0.922565536785,75.0
Y1050226,-0.423370921654,-0.303713149849,0.129878781805,40.0
Y1050227,-0.649829986569,0.414990725584,0.0889386454961,10.0
Y1050228,1.84270769242,-0.106929604276,-0.107211128228,66.0
Y1050229,1.65216167204,-0.916147459833,-0.191814587007,99.0
Y1050230,-1.0888818203,0.443825165733,0.165655655173,0.0
Y1050231,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050232,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050233,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050234,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050235,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050236,-1.0888818203,0.443825165733,0.165655655173,20.0
Y1050237,-1.0888818203,0.443825165733,0.165655655173,0.0
Y1050238,0.0326395882631,-1.35802057901,-0.390211855763,40.0
Y1050239,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050240,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050241,0.149665753632,1.30581625527,-0.129589801312,20.0
Y1050242,-1.0888818203,0.443825165733,0.165655655173,20.0
Y1050243,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050244,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050245,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050246,-1.0888818203,0.443825165733,0.165655655173,30.0
Y1050247,-1.00681927821,0.311982794166,0.124982422666,30.0
Y1050248,-1.0888818203,0.443825165733,0.165655655173,30.0
Y1050249,-1.0888818203,0.443825165733,0.165655655173,30.0
Y1050250,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050251,-1.0888818203,0.443825165733,0.165655655173,0.0
Y1050252,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050253,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050254,-1.0888818203,0.443825165733,0.165655655173,20.0
Y1050255,-0.00491894686097,-0.0636885107063,-0.437500967467,40.0
Y1050256,-0.719600380893,-0.149465506318,-0.0173738911106,30.0
Y1050257,0.107863585179,-1.47887608628,-0.427495652228,40.0
Y1050258,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050259,0.681733992265,-1.28990272893,-0.146213386199,80.0
Y1050260,2.30123568931,0.642712447422,-0.820035794332,50.0
Y1050261,-0.0494229538266,-1.22617820745,-0.349538623255,82.0
Y1050262,0.575658877846,-1.63105554094,-0.310400903539,50.0
Y1050263,-0.405027302882,-0.654861263991,-0.173287949056,40.0
Y1050264,0.233880295187,-1.33285206765,-0.171372996074,40.0
Y1050265,-1.0888818203,0.443825165733,0.165655655173,20.0
Y1050266,0.634109068663,-1.35931520912,0.19390247676,40.0
Y1050267,-0.490550697335,-0.0185983480188,0.126153592696,30.0
Y1050268,0.646889001087,-1.21004131814,-0.422586904867,60.0
Y1050269,-1.0888818203,0.443825165733,0.165655655173,10.0
Y1050270,-1.0888818203,0.443825165733,0.165655655173,40.0
Y1050271,-1.0888818203,0.443825165733,0.165655655173,0.0
Y1050272,-1.0888818203,0.443825165733,0.165655655173,0.0
Y1050273,-0.172516766961,-1.0284146501,-0.288528774494,40.0
Y9999986,2.41915296026,1.03711014733,-0.910150630646,58.0
Y9999987,0.0941864948304,-1.45690235769,-0.420716780144,27.0
Y9999988,-0.0374230772916,-0.0227049748795,0.472888516774,33.0
Y9999989,-0.015310851687,-1.03972517192,-0.145889627406,59.0
Y9999990,1.0046478831,-1.05720358502,-0.143393553831,63.0
Y9999991,-0.145162586265,-1.07236210729,-0.302086518663,36.0
Y9999992,-0.404828115436,0.258720731441,0.4033940414,38.0
Y9999993,1.16806517633,-0.875758238812,-0.401837390304,49.0
Y9999994,-0.451770798861,-0.539553131791,-0.113360773424,20.0
Y9999995,0.300307922833,-1.26533349046,-0.0450063859534,57.0
Y9999996,0.101025040005,-1.46788922199,-0.424106216186,54.0
Y9999997,0.42686132042,-1.58928415847,-0.218009040766,58.0
Y9999998,0.335395982115,-1.04573464918,0.00036863746804,49.0
Y9999999,1.24645338752,-1.40296272131,0.303634491895,73.0
